source,target,weight,roiInfo
644788121,1469403612,3,"{""LX(R)"": {""pre"": 3, ""post"": 3}, ""LAL(R)"": {""pre"": 3, ""post"": 3}, ""LAL(-GA)(R)"": {""pre"": 3, ""post"": 3}}"
644788121,1479626494,14,"{""LX(R)"": {""pre"": 7, ""post"": 7}, ""LAL(R)"": {""pre"": 7, ""post"": 7}, ""LAL(-GA)(R)"": {""pre"": 7, ""post"": 7}, ""INP"": {""pre"": 5, ""post"": 5}, ""CRE(R)"": {""pre"": 5, ""post"": 5}, ""CRE(-ROB,-RUB)(R)"": {""pre"": 5, ""post"": 5}, ""VMNP"": {""pre"": 2, ""post"": 2}, ""VES(R)"": {""pre"": 2, ""post"": 2}}"
644788121,1560419886,4,"{""LX(L)"": {""pre"": 4, ""post"": 4}, ""LAL(L)"": {""pre"": 4, ""post"": 4}}"
644788121,1598011458,3,"{""SNP(R)"": {""pre"": 1, ""post"": 1}, ""SMP(R)"": {""pre"": 1, ""post"": 1}, ""INP"": {""pre"": 2, ""post"": 2}, ""CRE(R)"": {""pre"": 2, ""post"": 2}, ""CRE(-ROB,-RUB)(R)"": {""pre"": 2, ""post"": 2}}"
644788121,1605842920,23,"{""VMNP"": {""pre"": 8, ""post"": 8}, ""VES(L)"": {""pre"": 8, ""post"": 8}, ""INP"": {""pre"": 5, ""post"": 5}, ""CRE(L)"": {""pre"": 5, ""post"": 5}, ""CRE(-RUB)(L)"": {""pre"": 5, ""post"": 5}, ""LX(L)"": {""pre"": 8, ""post"": 8}, ""LAL(L)"": {""pre"": 8, ""post"": 8}, ""LX(R)"": {""pre"": 2, ""post"": 2}, ""LAL(R)"": {""pre"": 2, ""post"": 2}, ""LAL(-GA)(R)"": {""pre"": 2, ""post"": 2}}"
644788121,1667886676,5,"{""LX(R)"": {""pre"": 5, ""post"": 5}, ""LAL(R)"": {""pre"": 5, ""post"": 5}, ""LAL(-GA)(R)"": {""pre"": 5, ""post"": 5}}"
644788121,1790675377,25,"{""LX(L)"": {""pre"": 12, ""post"": 12}, ""LAL(L)"": {""pre"": 12, ""post"": 12}, ""VMNP"": {""pre"": 5, ""post"": 5}, ""VES(L)"": {""pre"": 2, ""post"": 2}, ""INP"": {""pre"": 8, ""post"": 8}, ""CRE(L)"": {""pre"": 8, ""post"": 8}, ""CRE(-RUB)(L)"": {""pre"": 8, ""post"": 8}, ""GOR(L)"": {""pre"": 3, ""post"": 3}}"
644788121,5813011074,15,"{""SNP(L)"": {""pre"": 4, ""post"": 4}, ""SMP(L)"": {""pre"": 4, ""post"": 4}, ""INP"": {""pre"": 7, ""post"": 7}, ""CRE(L)"": {""pre"": 7, ""post"": 7}, ""CRE(-RUB)(L)"": {""pre"": 7, ""post"": 7}, ""VMNP"": {""pre"": 2, ""post"": 2}, ""VES(L)"": {""pre"": 2, ""post"": 2}, ""LX(L)"": {""pre"": 1, ""post"": 1}, ""LAL(L)"": {""pre"": 1, ""post"": 1}, ""SNP(R)"": {""pre"": 1, ""post"": 1}, ""SMP(R)"": {""pre"": 1, ""post"": 1}}"
644788121,5813047453,28,"{""LX(R)"": {""pre"": 24, ""post"": 24}, ""LAL(R)"": {""pre"": 24, ""post"": 24}, ""LAL(-GA)(R)"": {""pre"": 24, ""post"": 24}, ""INP"": {""pre"": 2, ""post"": 2}, ""CRE(R)"": {""pre"": 2, ""post"": 2}, ""CRE(-ROB,-RUB)(R)"": {""pre"": 2, ""post"": 2}, ""VMNP"": {""pre"": 2, ""post"": 2}, ""VES(R)"": {""pre"": 2, ""post"": 2}}"
644788121,5813078571,4,"{""LX(L)"": {""pre"": 2, ""post"": 2}, ""LAL(L)"": {""pre"": 2, ""post"": 2}, ""INP"": {""pre"": 1, ""post"": 1}, ""CRE(L)"": {""pre"": 1, ""post"": 1}, ""CRE(-RUB)(L)"": {""pre"": 1, ""post"": 1}, ""SNP(L)"": {""pre"": 1, ""post"": 1}, ""SMP(L)"": {""pre"": 1, ""post"": 1}}"
