source,target,weight,roiInfo
297851977,328611004,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 2, ""post"": 2}, ""SIP(R)"": {""pre"": 1, ""post"": 1}}"
297851977,328861282,140,"{""SNP(R)"": {""pre"": 132, ""post"": 132}, ""SLP(R)"": {""pre"": 81, ""post"": 81}, ""LH(R)"": {""pre"": 7, ""post"": 7}, ""SIP(R)"": {""pre"": 51, ""post"": 51}, ""INP"": {""pre"": 1, ""post"": 1}, ""SCL(R)"": {""pre"": 1, ""post"": 1}}"
297851977,329211098,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
297851977,330268940,18,"{""SNP(R)"": {""pre"": 17, ""post"": 17}, ""SIP(R)"": {""pre"": 8, ""post"": 8}, ""SLP(R)"": {""pre"": 9, ""post"": 9}, ""LH(R)"": {""pre"": 1, ""post"": 1}}"
297851977,330604760,4,"{""SNP(R)"": {""pre"": 4, ""post"": 4}, ""SIP(R)"": {""pre"": 2, ""post"": 2}, ""SLP(R)"": {""pre"": 2, ""post"": 2}}"
297851977,359210228,4,"{""SNP(R)"": {""pre"": 4, ""post"": 4}, ""SLP(R)"": {""pre"": 4, ""post"": 4}}"
297851977,360596183,4,"{""SNP(R)"": {""pre"": 4, ""post"": 4}, ""SLP(R)"": {""pre"": 4, ""post"": 4}}"
297851977,391328156,16,"{""SNP(R)"": {""pre"": 16, ""post"": 16}, ""SIP(R)"": {""pre"": 5, ""post"": 5}, ""SLP(R)"": {""pre"": 11, ""post"": 11}}"
297851977,391954490,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
297851977,449555517,4,"{""SNP(R)"": {""pre"": 4, ""post"": 4}, ""SLP(R)"": {""pre"": 4, ""post"": 4}}"
297851977,452336897,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
297851977,453665759,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
297851977,511271379,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
297851977,512765816,9,"{""SNP(R)"": {""pre"": 9, ""post"": 9}, ""SLP(R)"": {""pre"": 9, ""post"": 9}}"
297851977,573683455,3,"{""LH(R)"": {""pre"": 3, ""post"": 3}}"
297851977,602999843,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
